kabupaten/kota,kecamatan,tahun,luas panen (ha),produksi (Ton),produktivitas (Ku/Ha)
Bone,Tellu slattinge,2024,6438,42053,"65,31997515"
Ngawi,Geneng,2022,10262,67096,"65,38296628"
Ngawi,Mantingan,2025,7304,47759,"65,38745893"
Ngawi,Widodaren,2020,12243,80096,"65,42187372"
Ngawi,Widodaren,2022,13256,86726,"65,42395896"
Bone,Palakka,2023,5371,35142,"65,42915658"
Bone,Palakka,2024,5371,35142,"65,42915658"
Bone,Palakka,2025,5518,36104,"65,42950344"
Bone,Ponre,2023,4293,28089,"65,42976939"
Bone,Ponre,2024,4293,28089,"65,42976939"
Bone,Palakka,2022,6025,39422,"65,43070539"
Bone,Lappariaja,2023,6287,41148,"65,44933991"
Bone,Lappariaja,2024,6287,41148,"65,44933991"
Bone,Lappariaja,2022,10145,66399,"65,44997536"
Indramayu,Karangampel,2016,4994,32709,"65,49659592"
Ngawi,Bringin,2023,3769,24719,"65,58503582"
Bone,Tonra,2023,4596,30164,"65,63098346"
Bone,Tonra,2024,4596,30164,"65,63098346"
Bone,Bengo,2022,11532,75731,"65,67030871"
Bone,Bengo,2023,8015,52635,"65,67061759"
Bone,Bengo,2024,8015,52635,"65,67061759"
Ngawi,Paron,2020,16348,107397,"65,69427453"
Indramayu,-,2024,212866,1399352,"65,73863369"
Ngawi,Kasreman,2020,3206,21078,"65,74547723"
Bone,Salomekko,2022,5062,33288,"65,76056895"
Bone,Tanete timur,2025,3861,25394,"65,77052577"
Bone,Ponre,2025,4412,29018,"65,77062557"
Ngawi,Mantingan,2023,7073,46563,"65,83203733"
Ngawi,Ngawi,2020,9002,59281,"65,85314375"
Bone,cenrana,2022,6020,39666,"65,89036545"
Ngawi,Geneng,2023,10349,68209,"65,90878346"
Bone,Tonra,2022,4560,30055,"65,91008772"
Musi Banyuasin,Sanga desa,2025,2034,13410,"65,92920354"
Ngawi,Pangkur,2025,6939,45769,"65,95907191"
Indramayu,Kandanghaur,2016,11287,74466,"65,9750155"
Ngawi,Karanganyar,2024,2013,13294,"66,04073522"
Indramayu,-,2025,239498,1583262,"66,10752491"
Ngawi,Karangjati,2020,6968,46095,"66,15241102"
Ngawi,Geneng,2018,9865,65321,"66,21490117"
Indramayu,-,2022,225556,1493558,"66,21672667"
Bone,Kahu,2022,10881,72065,"66,23012591"
Bone,Kahu,2023,7839,51918,"66,23038653"
Bone,Kahu,2024,7839,51918,"66,23038653"
Ngawi,Widodaren,2023,13025,86271,"66,23493282"
Ngawi,Geneng,2021,10229,67760,"66,24303451"
Bone,Tonra,2025,4479,29709,"66,32953784"
Ngawi,Kwadungan,2023,6223,41293,"66,35545557"
Bone,Bengo,2025,8733,58109,"66,53956258"
Bone,Ajangale,2022,8057,53619,"66,54958421"
Bone,Libureng,2025,20861,138851,"66,5600882"
Bone,Barebbo,2025,12131,80853,"66,6499052"
Bone,Barebbo,2022,10688,71236,"66,6504491"
Ngawi,Bringin,2020,2475,16505,"66,68686869"
Ngawi,Padas,2023,7347,49056,"66,77011025"
Bone,Kajuara,2023,5440,36361,"66,84007353"
Bone,Kajuara,2024,5440,36361,"66,84007353"
Bone,Kajuara,2022,4650,31081,"66,84086022"
Ngawi,Padas,2025,7574,50653,"66,87747557"
Bone,Kajuara,2025,5615,37604,"66,97061443"
Bone,Patimpeng,2022,6129,41052,"66,97993147"
Bone,Patimpeng,2023,5083,34046,"66,98012984"
Bone,Patimpeng,2024,5083,34046,"66,98012984"
Ngawi,Geneng,2025,10300,69075,"67,0631068"
Bone,Mare,2023,7655,51380,"67,11952972"
Bone,Mare,2024,7655,51380,"67,11952972"
Bone,Mare,2025,9020,60542,"67,11973392"
Bone,Patimpeng,2025,6457,43397,"67,20923029"
Ngawi,Pangkur,2024,6921,46561,"67,27496027"
Ngawi,Karanganyar,2025,2174,14649,"67,38270469"
Bone,cenrana,2023,5231,35283,"67,44981839"
Bone,cenrana,2024,5231,35283,"67,44981839"
Bone,cenrana,2025,7488,50507,"67,45058761"
Ngawi,Pangkur,2020,5299,35822,"67,60143423"
Ngawi,Kwadungan,2020,4979,33695,"67,67423177"
Bone,Libureng,2022,10070,68234,"67,75968222"
Ngawi,Padas,2020,7295,49432,"67,76148047"
Bone,Dua boccoe,2022,12663,85944,"67,87017294"
Ngawi,Padas,2024,7547,51609,"68,38346363"
